A2BBX6,tau,tau_prob,tau_pred,t,t_pred,A,B1,B2,X,rA,rB1,rB2,rX,nA,nB1,nB2,nX,icsd_label
K2CrLiF6,3.678372037017647,0.7523131394464522,1,1.0409452986984118,1,K,Cr,Li,F,1.64,0.615,0.76,1.33,1,3,1,-1,1.0
Pb2TeZnO6,3.6804153133436097,0.7515815132542091,1,0.9968480964044498,1,Pb,Te,Zn,O,1.49,0.56,0.74,1.4,2,6,2,-2,1.0
Pb2CdMoO6,3.68076352368308,0.7514566710222129,1,0.9417228560502868,1,Pb,Cd,Mo,O,1.49,0.95,0.59,1.4,2,2,6,-2,1.0
K2CoLiF6,3.683955160099116,0.7503102162363299,1,1.042236794106226,1,K,Co,Li,F,1.64,0.61,0.76,1.33,1,3,1,-1,1.0
Ba2CoTaO6,3.6847200852936046,0.7500348689717474,1,1.0510574870970408,1,Ba,Co,Ta,O,1.61,0.61,0.64,1.4,2,3,5,-2,1.0
Ba2CoNbO6,3.6847200852936046,0.7500348689717474,1,1.0510574870970408,1,Ba,Co,Nb,O,1.61,0.61,0.64,1.4,2,3,5,-2,1.0
Pb2ReZnO6,3.6885880534897786,0.7486390908037807,1,0.9992853778137516,1,Pb,Re,Zn,O,1.49,0.55,0.74,1.4,2,6,2,-2,1.0
Pb2NiWO6,3.6885880534897786,0.7486390908037807,1,0.9992853778137516,1,Pb,Ni,W,O,1.49,0.69,0.6,1.4,2,2,6,-2,1.0
Pb2CdWO6,3.6888859928273767,0.7485313395953151,1,0.9395579759214354,1,Pb,Cd,W,O,1.49,0.95,0.6,1.4,2,2,6,-2,1.0
Pb2CaReO6,3.6888859928273767,0.7485313395953147,1,0.9395579759214354,1,Pb,Ca,Re,O,1.49,1.0,0.55,1.4,2,2,6,-2,1.0
Pb2INaO6,3.6888859928273767,0.7485313395953147,1,0.9395579759214354,1,Pb,I,Na,O,1.49,0.53,1.02,1.4,2,7,1,-2,1.0
Pb2DyNbO6,3.690589859490328,0.7479144741195438,1,0.9391261937633832,1,Pb,Dy,Nb,O,1.49,0.912,0.64,1.4,2,3,5,-2,1.0
Ba2FeSbO6,3.6925250179056217,0.7472125229485291,1,1.0523566928907329,1,Ba,Fe,Sb,O,1.61,0.645,0.6,1.4,2,3,5,-2,1.0
Pb2FeTaO6,3.692929824187418,0.7470655038615389,1,1.0005084933312711,1,Pb,Fe,Ta,O,1.49,0.645,0.64,1.4,2,3,5,-2,1.0
Pb2FeNbO6,3.692929824187418,0.7470655038615389,1,1.0005084933312711,1,Pb,Fe,Nb,O,1.49,0.645,0.64,1.4,2,3,5,-2,1.0
Pb2MgTeO6,3.697442777716039,0.7454222270196085,1,1.001734606680942,1,Pb,Mg,Te,O,1.49,0.72,0.56,1.4,2,2,6,-2,1.0
Pb2MoNiO6,3.697442777716039,0.7454222270196085,1,1.001734606680942,1,Pb,Mo,Ni,O,1.49,0.59,0.69,1.4,2,6,2,-2,1.0
Pb2CaTeO6,3.697670911055989,0.7453389513595484,1,0.9374030264353772,1,Pb,Ca,Te,O,1.49,1.0,0.56,1.4,2,2,6,-2,1.0
Ba2NbNiO6,3.700495375608382,0.7443062892650248,1,1.0536591145403504,1,Ba,Nb,Ni,O,1.61,0.64,0.6,1.4,2,5,3,-2,1.0
Sr2FeWO6,3.702323135722229,0.7436364136461472,1,0.9608532337654522,1,Sr,Fe,W,O,1.44,0.78,0.6,1.4,2,2,6,-2,1.0
Sr2InReO6,3.702323135722229,0.7436364136461472,1,0.9608532337654522,1,Sr,In,Re,O,1.44,0.8,0.58,1.4,2,3,5,-2,1.0
Sr2MoVO6,3.702323135722229,0.7436364136461472,1,0.9608532337654522,1,Sr,Mo,V,O,1.44,0.59,0.79,1.4,2,6,2,-2,1.0
Sr2MnReO6,3.702323135722229,0.7436364136461472,1,0.9608532337654522,1,Sr,Mn,Re,O,1.44,0.83,0.55,1.4,2,2,6,-2,1.0
Sr2ScTaO6,3.702442913767253,0.7435924704285908,1,0.9597052609652544,1,Sr,Sc,Ta,O,1.44,0.745,0.64,1.4,2,3,5,-2,1.0
Sr2NbScO6,3.702442913767253,0.7435924704285908,1,0.9597052609652544,1,Sr,Nb,Sc,O,1.44,0.64,0.745,1.4,2,5,3,-2,1.0
Sr2FeMoO6,3.702604853702397,0.7435330504990475,1,0.9631574381629712,1,Sr,Fe,Mo,O,1.44,0.78,0.59,1.4,2,2,6,-2,1.0
Sr2MoZrO6,3.702604853702397,0.7435330504990475,1,0.9631574381629712,1,Sr,Mo,Zr,O,1.44,0.65,0.72,1.4,2,4,4,-2,1.0
Sr2CrMoO6,3.7027363511169775,0.7434847933619816,1,0.9585600279569428,1,Sr,Cr,Mo,O,1.44,0.8,0.59,1.4,2,2,6,-2,1.0
Sr2MnTeO6,3.7027363511169775,0.7434847933619816,1,0.9585600279569428,1,Sr,Mn,Te,O,1.44,0.83,0.56,1.4,2,2,6,-2,1.0
Sr2HfNbO6,3.7027363511169775,0.7434847933619816,1,0.9585600279569428,1,Sr,Hf,Nb,O,1.44,0.71,0.68,1.4,2,4,4,-2,1.0
